From	To
Q9W5Y4	FBgn0039972
Q9I7L0	FBgn0042102
P23625	FBgn0004435
Q9V3B6	FBgn0040235
Q7KJ69	FBgn0026176
Q9V6Q2	FBgn0040477
Q9VNX7	FBgn0046301
Q9VM95	FBgn0031851
Q9VB23	FBgn0027492
O97143	FBgn0026371
P35415	FBgn0003149
P35416	FBgn0003149
Q9VT51	FBgn0036046
Q7K306	FBgn0016131
Q94877	FBgn0016131
B6VQA1	FBgn0023091
O46070	FBgn0023526
A1Z6E0	FBgn0026238
Q9Y169	FBgn0029175
Q9NHA8	FBgn0040321
O46060	FBgn0029525
Q9I7Z8	FBgn0029525
Q9W351	FBgn0030122
Q8MS22	FBgn0030400
Q8SXY9	FBgn0030400
Q9VYL7	FBgn0030400
Q7Z2C5	FBgn0030459
Q9VYF9	FBgn0030459
Q8SZP2	FBgn0031957
Q9W1P1	FBgn0034869
Q9W0Y0	FBgn0035084
Q9W0M7	FBgn0035162
Q8T9L6	FBgn0035162
Q8SXL5	FBgn0035325
Q7KV83	FBgn0035397
Q8IRE7	FBgn0035397
Q95RR8	FBgn0035397
Q9I7T8	FBgn0035397
Q9VZV3	FBgn0035397
Q9VZG2	FBgn0035510
Q9VS41	FBgn0035756
Q9VNE1	FBgn0037345
Q9VG22	FBgn0038089
Q8MSW5	FBgn0039554
Q9VAZ0	FBgn0039554
Q95TJ9	FBgn0039858
Q7PLE9	FBgn0039966
Q9VUD3	FBgn0042630
A1Z743	FBgn0286778
A1Z745	FBgn0286778
Q8SXN9	FBgn0286778
Q9VL21	FBgn0032196
Q9VKJ0	FBgn0040211
A1Z6E8	FBgn0033019
Q95RL9	FBgn0033019
Q7K0V7	FBgn0033337
Q9W221	FBgn0034758
P92177	FBgn0020238
O17311	FBgn0023174
O17312	FBgn0023174
Q9VUJ1	FBgn0023174
Q9XYP7	FBgn0026430
Q7K148	FBgn0029134
Q9NHX7	FBgn0029134
Q9VEJ4	FBgn0038515
O97069	FBgn0026565
Q9W3K3	FBgn0030000
Q9VNI3	FBgn0037377
Q9Y1P6	FBgn0027364
Q9VRD3	FBgn0031142
Q9VQW4	FBgn0031579
Q8SY53	FBgn0032015
Q9Y0Y5	FBgn0027496
Q9VW54	FBgn0028695
Q9XZ16	FBgn0027526
Q7KNM2	FBgn0010602
Q9Y145	FBgn0027587
Q9U6B8	FBgn0041585
Q9VK57	FBgn0032455
Q9VK58	FBgn0032455
A1ZBG9	FBgn0034417
Q7K173	FBgn0034417
Q9W0N9	FBgn0035153
Q9VRN3	FBgn0035624
Q9VBA6	FBgn0039461
Q9W394	FBgn0052708
Q9VTQ9	FBgn0036224
Q8SZ19	FBgn0028685
Q9U7A2	FBgn0028685
Q9W414	FBgn0028685
Q9VFS8	FBgn0038166
Q7KMP8	FBgn0028691
Q9V3Z4	FBgn0028690
P26308	FBgn0001105
Q9V436	FBgn0028693
Q9V3H8	FBgn0028411
Q8SXQ2	FBgn0035978
Q9VSW1	FBgn0035978
Q9VSW2	FBgn0035978
P48602	FBgn0265262
Q9VJJ0	FBgn0032596
Q8IRD1	FBgn0035443
Q9VCD5	FBgn0039147
A1Z9G1	FBgn0027581
Q9Y138	FBgn0027581
Q9V9Z8	FBgn0039829
P55162	FBgn0011771
Q7KMQ0	FBgn0028687
Q95083	FBgn0016697
Q9V3P9	FBgn0028871
P07188	FBgn0002534
Q7JV70	FBgn0033928
Q9VTW0	FBgn0036272
Q9VTW1	FBgn0036272
Q9VGV7	FBgn0037844
Q9GT65	FBgn0038042
Q9VG77	FBgn0038042
Q9V492	FBgn0039930
Q9V470	FBgn0029118
Q9Y0I1	FBgn0027378
Q7PLI2	FBgn0026401
Q9VWE6	FBgn0031052
Q95R37	FBgn0031768
Q9VMI6	FBgn0031768
Q9VN50	FBgn0037270
Q9U1H9	FBgn0003321
Q9NFT2	FBgn0029172
Q9VTD4	FBgn0029172
Q7JX82	FBgn0010504
Q9VL92	FBgn0015035
Q9W0V7	FBgn0052475
Q8MRZ9	FBgn0025634
Q9W5E2	FBgn0025634
O97183	FBgn0026373
Q8IP63	FBgn0026373
Q9VJK3	FBgn0032588
A1Z8T9	FBgn0033687
Q7JWV5	FBgn0033963
Q9VRQ2	FBgn0035640
Q7YU87	FBgn0037831
Q8IHA6	FBgn0037831
Q8INL2	FBgn0037831
Q9VGX5	FBgn0037831
Q9VGH1	FBgn0003312
Q7YTX4	FBgn0085405
Q9VD04	FBgn0085405
Q9VD05	FBgn0085405
Q9W5G0	FBgn0029522
P34082	FBgn0000635
P42570	FBgn0003114
Q9VQZ6	FBgn0031604
Q27896	FBgn0010287
Q24251	FBgn0016120
Q8IQ26	FBgn0031187
Q8IQ27	FBgn0031187
Q7K1T6	FBgn0032791
Q9VIV5	FBgn0032791
Q8TA44	FBgn0035769
Q9VS55	FBgn0035769
Q9VXW3	FBgn0030630
Q9W4U7	FBgn0029643
Q9VIN6	FBgn0032853
Q8IRR5	FBgn0029783
Q9XTL2	FBgn0027363
Q9W484	FBgn0029798
Q9VTZ6	FBgn0036300
Q8MSI6	FBgn0040343
Q9V3D7	FBgn0040343
Q8MZ50	FBgn0021875
Q9W1A3	FBgn0021875
Q9W495	FBgn0029789
P05049	FBgn0003450
Q9W3Y3	FBgn0029882
Q9VG94	FBgn0010042
Q9VXE7	FBgn0030761
Q9VX99	FBgn0030801
A1Z7A8	FBgn0033265
Q9VD52	FBgn0038927
Q8MSP2	FBgn0039343
Q9VBQ3	FBgn0039343
Q8T0S7	FBgn0040395
Q9TVM9	FBgn0040395
Q9W525	FBgn0040395
Q4LBB9	FBgn0038063
Q9VJ16	FBgn0032741
Q8SYD7	FBgn0029929
Q9W3T2	FBgn0029929
Q4QPW4	FBgn0033701
A1Z9K4	FBgn0020620
Q7KQC4	FBgn0020620
Q95RE0	FBgn0020620
Q9VTM1	FBgn0036193
Q9VAB8	FBgn0039740
P23792	FBgn0000459
Q9VY41	FBgn0030559
Q7KU30	FBgn0020445
Q7YU52	FBgn0020445
Q9GZ10	FBgn0020445
O77051	FBgn0024371
Q8SXV4	FBgn0032283
Q8SYE0	FBgn0032283
Q7KIS4	FBgn0034371
Q8MSD1	FBgn0034371
Q9NF35	FBgn0040361
Q9W5B1	FBgn0040361
A1Z9E3	FBgn0024556
Q24046	FBgn0015776
Q95TV3	FBgn0024556
Q7KPG8	FBgn0024956
Q8SX08	FBgn0024956
Q9W263	FBgn0034720
Q8IG95	FBgn0037207
Q95ST8	FBgn0037207
Q9VNP3	FBgn0037207
Q9VFL9	FBgn0053109
Q9VR89	FBgn0027334
O77430	FBgn0025637
Q03019	FBgn0002673
P17917	FBgn0005655
Q9VYV4	FBgn0030328
Q9VXP1	FBgn0030693
Q8MRU2	FBgn0031894
Q9VM37	FBgn0031894
Q9VKF2	FBgn0032377
Q8MRY0	FBgn0032780
Q9VIW8	FBgn0032780
Q8T437	FBgn0032878
Q9VIK3	FBgn0032878
Q5BI50	FBgn0033260
Q494G8	FBgn0033609
Q961T2	FBgn0033609
Q0E9B5	FBgn0033713
Q8T8S1	FBgn0033784
Q7K3B9	FBgn0033994
Q7K486	FBgn0034315
Q95RW0	FBgn0035959
Q9VST7	FBgn0035959
Q95TN4	FBgn0032258
Q9VTM4	FBgn0036196
Q9VUR0	FBgn0036512
Q9VUR4	FBgn0036516
Q8IQM5	FBgn0036516
Q960Q5	FBgn0036516
Q7YZ95	FBgn0037236
Q95S27	FBgn0037236
Q9VN08	FBgn0037236
Q9VI16	FBgn0037440
Q95U38	FBgn0037643
Q9VHJ8	FBgn0037643
Q6NQY0	FBgn0037760
Q9VH60	FBgn0037760
Q8T3U8	FBgn0037995
Q9VFN3	FBgn0038202
Q9VFP1	FBgn0038194
Q9VF10	FBgn0038385
Q9VE08	FBgn0038675
O61646	FBgn0024285
Q9VL71	FBgn0024285
Q9W281	FBgn0034704
Q9W1V1	FBgn0034817
Q9W129	FBgn0035042
Q9W127	FBgn0035044
Q0E8J0	FBgn0035357
Q8T078	FBgn0035357
Q9VZS1	FBgn0035425
Q8SX86	FBgn0035461
Q9VDA0	FBgn0038889
Q9VBL2	FBgn0039380
Q8IGU5	FBgn0039667
Q8T0K1	FBgn0039667
Q9VAK7	FBgn0039667
Q9VZH1	FBgn0040696
Q9VMN6	FBgn0051646
P23573	FBgn0004107
Q9N2P6	FBgn0053200
Q9I7P3	FBgn0037280
Q8T0P7	FBgn0037518
Q9VI00	FBgn0037518
Q9VBP9	FBgn0039348
Q8T0T9	FBgn0025712
A1Z833	FBgn0033474
Q7K2V5	FBgn0033474
Q960T3	FBgn0033474
Q9VK38	FBgn0040972
Q9VXF1	FBgn0267912
O97468	FBgn0025790
Q7JN15	FBgn0011666
Q86PA1	FBgn0011666
Q8IMS8	FBgn0011666
Q8MS04	FBgn0011666
Q9VBQ1	FBgn0011666
O97469	FBgn0025790
Q8SXP8	FBgn0025790
Q9W1I0	FBgn0025790
Q8MSM3	FBgn0035693
Q9VRV9	FBgn0035693
Q9VYI0	FBgn0086675
Q9VXT7	FBgn0030653
O96881	FBgn0015829
Q7KS38	FBgn0039129
Q9VY59	FBgn0030542
Q95SB0	FBgn0031479
Q9GPQ2	FBgn0031479
Q9VQI7	FBgn0031479
Q9VIP1	FBgn0032847
Q7JVH0	FBgn0034084
Q8T5S9	FBgn0050021
Q9I7K0	FBgn0051363
Q9V9N4	FBgn0032979
Q8SY19	FBgn0025814
Q8SY70	FBgn0025814
O97418	FBgn0025839
Q8SWX9	FBgn0039543
Q9VB02	FBgn0039543
Q8SYB3	FBgn0025839
O17049	FBgn0026063
Q8T473	FBgn0026063
Q9VGQ0	FBgn0026063
Q9V468	FBgn0027866
Q0E9A5	FBgn0033757
Q8MR83	FBgn0033757
Q8WSN1	FBgn0033757
A1ZBT6	FBgn0034504
Q960E4	FBgn0034504
Q9VC60	FBgn0039210
Q86B98	FBgn0051211
Q86B99	FBgn0051211
Q9VGG3	FBgn0051211
Q960X8	FBgn0031450
O96989	FBgn0026143
O96794	FBgn0026150
Q9VJ39	FBgn0032721
Q9VJG0	FBgn0026150
Q9VWC4	FBgn0026175
Q07171	FBgn0010225
Q9VC08	FBgn0039250
P42787	FBgn0004648
P52485	FBgn0015320
Q8SXG7	FBgn0031607
Q05652	FBgn0010441
Q27889	FBgn0011826
Q7JZ25	FBgn0033755
Q967S0	FBgn0041194
Q9VRZ1	FBgn0041194
Q8SX44	FBgn0053969
Q95S02	FBgn0053969
P26686	FBgn0004587
Q9VRB3	FBgn0031126
Q95TK2	FBgn0002791
Q9W1E5	FBgn0002791
Q24139	FBgn0010105
Q24338	FBgn0000588
Q9W214	FBgn0020257
O76874	FBgn0024989
O96838	FBgn0028741
P54353	FBgn0015379
Q9W1V7	FBgn0034814
Q9VDP8	FBgn0038772
Q8SYM9	FBgn0036775
Q95S56	FBgn0036775
Q5BI58	FBgn0028402
Q9U778	FBgn0028402
Q9VP85	FBgn0028402
P15364	FBgn0000071
Q8WSF3	FBgn0045063
P22807	FBgn0002941
Q9VXF9	FBgn0030753
Q9VWD9	FBgn0031057
Q9VFE3	FBgn0028662
P45891	FBgn0011743
Q24567	FBgn0015773
Q961V9	FBgn0030668
Q9VXR9	FBgn0030668
Q29QQ9	FBgn0034065
Q8MRV7	FBgn0030686
Q9VXQ0	FBgn0030686
Q9VXN8	FBgn0030696
Q9VQ22	FBgn0031347
Q9VXL4	FBgn0030711
Q9V424	FBgn0027950
Q9VHB7	FBgn0027950
Q9VXE5	FBgn0025743
Q8SZY8	FBgn0030790
Q9VXB1	FBgn0030790
A1ZAJ2	FBgn0267002
Q7YU51	FBgn0035308
Q9W049	FBgn0035308
Q9VTM2	FBgn0036194
Q9VX57	FBgn0030837
Q9VPW2	FBgn0031298
Q9VP22	FBgn0037093
Q8T3W6	FBgn0036924
Q8SYC8	FBgn0032487
Q9VK19	FBgn0032487
Q9VP13	FBgn0037102
A1Z6W5	FBgn0033153
Q8MYS8	FBgn0033153
Q8SZ63	FBgn0039188
Q7KML2	FBgn0027572
Q9V3G3	FBgn0028382
Q9V4T3	FBgn0033292
Q7JVG6	FBgn0033225
Q8T8W4	FBgn0039395
Q9VBJ9	FBgn0039395
O16124	FBgn0052190
O44117	FBgn0052190
Q7KQC2	FBgn0052190
Q9VVK7	FBgn0052190
Q9VBI0	FBgn0039404
Q8MS69	FBgn0031832
Q9VBH7	FBgn0039407
Q9VBF5	FBgn0039425
Q8SY20	FBgn0036810
Q9VVS3	FBgn0036810
Q9VEB4	FBgn0038584
P40304	FBgn0002284
Q9V7D2	FBgn0022097
P50534	FBgn0005616
Q9W0Q4	FBgn0001316
Q9Y0E4	FBgn0001316
Q07327	FBgn0004574
Q95RT8	FBgn0030003
Q9W3J9	FBgn0030003
Q7K3Z8	FBgn0032029
Q86PE8	FBgn0032213
Q9VL01	FBgn0032213
Q9W1V2	FBgn0034816
Q7KU87	FBgn0035802
Q7KU88	FBgn0035802
Q7KU89	FBgn0035802
Q86NW6	FBgn0035802
Q8MSF1	FBgn0035802
O96816	FBgn0026059
Q7K523	FBgn0026059
Q8IH49	FBgn0026059
Q8INC1	FBgn0026059
Q8INC3	FBgn0026059
Q8T6M0	FBgn0026059
Q9VEZ0	FBgn0026059
Q7JPM7	FBgn0003317
Q7JPN8	FBgn0003317
Q7JQ36	FBgn0003317
Q7JQ39	FBgn0003317
Q95U21	FBgn0003317
P08570	FBgn0002593
P12297	FBgn0003638
A1Z850	FBgn0010531
Q9BLY4	FBgn0010531
P61857	FBgn0003889
A1Z714	FBgn0004133
P91678	FBgn0004133
Q8MSU1	FBgn0004133
Q9VPT5	FBgn0031282
Q9UB07	FBgn0026751
Q9Y095	FBgn0026751
Q7KJV5	FBgn0029512
Q7KSM5	FBgn0029512
Q9VG70	FBgn0029512
Q9VTZ4	FBgn0036298
Q9VAQ7	FBgn0039626
P18537	FBgn0001085
A1Z739	FBgn0033216
P18490	FBgn0003048
P07140	FBgn0000024
P19107	FBgn0000121
P26802	FBgn0004556
Q9W2N0	FBgn0034577
Q9VRJ4	FBgn0035588
Q9VNH5	FBgn0037372
Q9W3F1	FBgn0030041
Q9VUZ0	FBgn0011016
Q7K4G8	FBgn0033581
P41093	FBgn0010409
P25008	FBgn0004597
P15215	FBgn0267348
Q8INI8	FBgn0013277
Q9VS81	FBgn0035792
O17144	FBgn0022936
O76513	FBgn0022936
Q9V5L3	FBgn0033524
Q9VK14	FBgn0032492
Q9Y1I2	FBgn0000257
Q95SE0	FBgn0030082
Q9W396	FBgn0030082
P36951	FBgn0011770
Q8IPW1	FBgn0029095
Q8T8Q9	FBgn0029095
Q9U3Z9	FBgn0029095
Q9VPU7	FBgn0029095
Q8SYT1	FBgn0031813
Q9VMD7	FBgn0031813
Q9VKH6	FBgn0032358
Q9V3J8	FBgn0040066
Q95S50	FBgn0029867
Q9W403	FBgn0029867
Q8SXZ6	FBgn0034425
Q8IGE6	FBgn0036030
Q9VT32	FBgn0036030
Q9VT33	FBgn0036030
O46341	FBgn0023130
Q9VFQ3	FBgn0008646
Q9VRK2	FBgn0035594
Q9VP46	FBgn0037074
Q9VI15	FBgn0037439
O46085	FBgn0023516
P11146	FBgn0001217
Q7KW08	FBgn0023516
Q9V359	FBgn0021814
Q5U154	FBgn0033657
Q4V5U6	FBgn0035504
Q9VTU3	FBgn0036257
Q9VH02	FBgn0037807
P25028	FBgn0000927
Q9VTV7	FBgn0052100
Q86B83	FBgn0053099
Q9W3N9	FBgn0029969
Q9W3G8	FBgn0030029
O77425	FBgn0025640
Q95R49	FBgn0036838
Q9VVV7	FBgn0036838
Q961M0	FBgn0039321
Q9VBS7	FBgn0039321
Q9VYR3	FBgn0030360
Q76NR6	FBgn0030362
Q9VYR1	FBgn0030362
A1ZA18	FBgn0019968
O01349	FBgn0019968
O76767	FBgn0267330
Q9Y117	FBgn0027558
Q9XZ19	FBgn0027524
Q7JYN8	FBgn0031772
Q9VMI2	FBgn0031772
Q9VKG8	FBgn0032363
Q7K4Q5	FBgn0033021
Q7K1Q7	FBgn0033485
Q86NX6	FBgn0034688
Q9W299	FBgn0034688
Q8SZ80	FBgn0036786
Q9VVP8	FBgn0036786
Q9VGI6	FBgn0037944
Q9VV76	FBgn0036643
Q9VYD6	FBgn0030481
Q94981	FBgn0017418
Q9V9R2	FBgn0032956
Q9VGI8	FBgn0002906
P48588	FBgn0086472
Q5U127	FBgn0036534
Q86NM7	FBgn0036534
Q8T3N6	FBgn0036534
Q9VUU4	FBgn0036534
Q7JUN9	FBgn0033117
Q9NH72	FBgn0015778
Q9VFT4	FBgn0015778
Q9VR29	FBgn0031631
Q8SYQ6	FBgn0042205
Q9I7J8	FBgn0042205
P39769	FBgn0004861
Q7JRJ1	FBgn0033166
Q9VG26	FBgn0051345
P13054	FBgn0001323
Q8IH02	FBgn0052264
Q9VZM9	FBgn0052264
Q9VZN0	FBgn0052264
Q9VZN2	FBgn0052264
P35005	FBgn0010425
Q86BE9	FBgn0053198
Q08694	FBgn0004425
Q9VN41	FBgn0037263
Q9VQG0	FBgn0031456
Q9VPW8	FBgn0016926
Q8SY02	FBgn0051634
Q8MQI4	FBgn0051973
Q9VPI3	FBgn0051973
Q9VPI4	FBgn0051973
Q9VMA0	FBgn0031848
P98081	FBgn0000414
P23757	FBgn0003129
Q9W1T0	FBgn0034838
Q5U0V6	FBgn0031952
Q9VLW7	FBgn0031952
Q9VPR1	FBgn0031263
Q9VLS4	FBgn0031992
Q9VLR9	FBgn0031997
Q9VPW9	FBgn0031304
Q8MR16	FBgn0032149
Q9VL81	FBgn0032149
Q9VKW3	FBgn0032244
Q9VPT2	FBgn0031279
Q8T8V8	FBgn0034842
Q9W1S5	FBgn0034842
Q9U616	FBgn0027945
Q9W455	FBgn0029825
Q9VRR9	FBgn0035656
Q86BP6	FBgn0036574
Q8MSZ2	FBgn0036574
Q9VUZ2	FBgn0036574
Q9VBN9	FBgn0039355
Q9VB49	FBgn0039507
Q5BIE2	FBgn0039544
Q8IH01	FBgn0039544
Q8IH09	FBgn0039544
Q9VJ98	FBgn0032670
P92189	FBgn0003527
Q9V3A0	FBgn0028920
Q9VKF0	FBgn0032378
Q8T4M1	FBgn0085407
Q9VM39	FBgn0085407
Q9VM40	FBgn0085407
Q9VM42	FBgn0085407
Q9VJ38	FBgn0032720
Q9VSF4	FBgn0035854
Q8T9G7	FBgn0032785
Q9VIW1	FBgn0032785
P16548	FBgn0002863
Q8T0K8	FBgn0010548
A1Z6Z3	FBgn0010548
A1Z6Z4	FBgn0010548
Q7JR61	FBgn0010548
Q8IGH3	FBgn0010548
Q8T0G1	FBgn0025693
O96679	FBgn0025781
Q9VCN6	FBgn0025781
Q8IRU1	FBgn0029663
Q9W4S0	FBgn0029663
Q9W4R9	FBgn0029664
Q9NHZ1	FBgn0031250
Q9VPP0	FBgn0031250
Q9VQI6	FBgn0031478
Q9VM08	FBgn0045495
Q9VJA5	FBgn0032664
Q961K6	FBgn0035091
Q2XXT0	FBgn0035241
Q961F8	FBgn0035241
Q9W0C9	FBgn0035241
Q7KV99	FBgn0035321
Q9I7U1	FBgn0035321
Q9I7U2	FBgn0035321
Q9VZU2	FBgn0024194
Q9VFE6	FBgn0038275
Q9VED0	FBgn0038569
Q9I7H4	FBgn0039789
Q9VAN0	FBgn0014427
Q9VVQ9	FBgn0052199
Q5BIF6	FBgn0032813
Q9VIT0	FBgn0032813
Q9VYT1	FBgn0030346
Q9VLF2	FBgn0032089
Q8T8V3	FBgn0035140
Q9W0Q3	FBgn0035140
Q9VIP8	FBgn0003978
Q9VF28	FBgn0038369
Q8SXG3	FBgn0032906
Q9VIH1	FBgn0032906
Q03042	FBgn0000442
P91626	FBgn0008651
Q24416	FBgn0008651
Q9VDA2	FBgn0008651
Q9VUD8	FBgn0036416
Q9VHN1	FBgn0037613
Q9VH36	FBgn0037780
P17971	FBgn0005564
P91654	FBgn0010316
P91668	FBgn0010316
Q5BHZ7	FBgn0010316
Q7JNL9	FBgn0010316
Q8SZG6	FBgn0010316
O76932	FBgn0023177
Q8MZC0	FBgn0286075
Q9VG84	FBgn0286075
Q8MZI0	FBgn0039260
Q9VBZ6	FBgn0039260
Q9W220	FBgn0034759
O97067	FBgn0026566
Q9VWZ8	FBgn0030886
Q8IGW2	FBgn0051098
Q9VBT1	FBgn0051098
Q9VS76	FBgn0035788
Q9VD31	FBgn0038945
Q8MSH8	FBgn0041712
Q9W1R1	FBgn0041712
P25167	FBgn0004463
Q24024	FBgn0010258
Q26274	FBgn0010258
Q8T3X1	FBgn0010258
Q9VFT3	FBgn0010258
Q9VNR6	FBgn0010830
Q7YU85	FBgn0027598
Q86PF3	FBgn0027598
Q9VA35	FBgn0027598
Q9VA36	FBgn0027598
Q9Y154	FBgn0027598
Q9W3F4	FBgn0021767
Q7KLX0	FBgn0024542
Q9U9Q2	FBgn0024542
Q9Y106	FBgn0027546
Q8MME5	FBgn0028371
Q95U66	FBgn0028371
Q961W2	FBgn0028371
Q9W204	FBgn0028371
Q9W205	FBgn0028371
Q9VZ17	FBgn0030278
Q9NBD7	FBgn0021760
O96818	FBgn0026418
Q9VUC1	FBgn0026418
Q9XZT5	FBgn0026418
P09085	FBgn0000251
P09083	FBgn0001147
Q7JQ85	FBgn0004863
Q7KS72	FBgn0004863
Q9VD99	FBgn0004863
Q24210	FBgn0013759
Q9VRB7	FBgn0031129
Q2XVY6	FBgn0039044
Q2XVY7	FBgn0039044
Q8IH92	FBgn0039044
Q8IMZ4	FBgn0039044
Q9N6D8	FBgn0039044
Q95TK5	FBgn0039854
Q9VW42	FBgn0040786
Q9I7M1	FBgn0042129
Q7K0S8	FBgn0031143
Q9VRD4	FBgn0031143
Q94535	FBgn0017457
Q9VR51	FBgn0031184
Q8SX67	FBgn0035063
Q9W108	FBgn0035063
Q9VEF4	FBgn0038547
Q9W0D7	FBgn0035233
Q9VPW1	FBgn0015905
Q9VQ26	FBgn0051935
Q9I7X6	FBgn0023522
Q5BIK1	FBgn0031322
Q9VPY9	FBgn0031322
Q9VEV3	FBgn0038428
Q8MZD3	FBgn0031372
Q9VQ51	FBgn0031372
Q9VU21	FBgn0036320
Q9VQ83	FBgn0031395
Q24337	FBgn0011586
Q8MTU9	FBgn0031413
Q9VQA8	FBgn0031413
Q8I8U9	FBgn0037981
Q9VGE2	FBgn0037981
Q9VQE8	FBgn0031446
Q9VQH5	FBgn0031467
Q0E9F9	FBgn0033241
Q86P95	FBgn0033241
Q7JY99	FBgn0033673
Q9VUU1	FBgn0036532
Q9VFI9	FBgn0038237
Q0E8U4	FBgn0031489
Q8MRW0	FBgn0031489
Q9VEK2	FBgn0038508
Q7JUR6	FBgn0042135
P81909	FBgn0026398
Q95T84	FBgn0035484
Q9VZJ8	FBgn0035484
Q9VSI1	FBgn0035878
Q94522	FBgn0004888
Q9VMN3	FBgn0031730
Q8MMD2	FBgn0035060
Q8MMD3	FBgn0035060
Q8WQ61	FBgn0035060
Q9W111	FBgn0035060
Q7K4E0	FBgn0050440
Q8SZ99	FBgn0031766
Q9VMI8	FBgn0031766
P07183	FBgn0000360
Q23989	FBgn0003187
P29673	FBgn0267978
Q9VLK3	FBgn0032049
Q7K581	FBgn0034181
Q0E8K8	FBgn0035103
Q8SYE1	FBgn0035103
Q8SYW4	FBgn0035103
Q8T3Z0	FBgn0035638
Q8IQH4	FBgn0036317
Q8IQH5	FBgn0036317
Q8SYY0	FBgn0036317
Q9VU18	FBgn0036317
Q9VI23	FBgn0037445
Q29R10	FBgn0038244
Q8T3L3	FBgn0038244
Q8SX40	FBgn0038549
Q8MZH7	FBgn0038829
Q9VDI5	FBgn0038829
Q8SZ06	FBgn0039958
Q9NHE4	FBgn0040228
Q9VJQ6	FBgn0040228
Q9VIW0	FBgn0000964
Q7K264	FBgn0033752
P46863	FBgn0004378
Q8T6L6	FBgn0039157
Q8T6L7	FBgn0039157
Q961G2	FBgn0039157
Q9VHX3	FBgn0040524
